age:<21,age:<23,age:<26,age:<46,priors:=0,priors:=1,priors:2-3,priors:>3
0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0
0,1,1,1,0,0,0,1
0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,1
0,0,0,1,0,0,1,0
0,0,0,1,1,0,0,0
0,1,1,1,0,1,0,0
0,0,0,1,1,0,0,0
0,1,1,1,0,0,1,0
0,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0
0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0
0,0,1,1,0,0,1,0
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1
1,1,1,1,0,1,0,0
0,0,0,1,1,0,0,0
1,1,1,1,1,0,0,0
0,1,1,1,0,1,0,0
0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0
0,0,1,1,0,0,0,1
0,0,0,1,0,0,1,0
0,0,1,1,0,0,0,1
0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,1,1,0,1,0,0
0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0
1,1,1,1,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0
0,0,1,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1
0,1,1,1,0,0,1,0
0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1
